#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
1,Rolling in the Deep,Adele,1,105,"british soul, pop, pop soul, uk pop","R&B, Pop",21,1/19/2011,3:48,73,77,14,0,51,0,0,-5,G#/A♭ Major,4,8/14/2023,1eq1wUnLVLg4pdEfx9kajC,XL Recordings,4B,,https://i.scdn.co/image/ab67616d00004851ba764098164f221484bcc309
2,Set Fire to the Rain,Adele,1,108,"british soul, pop, pop soul, uk pop","R&B, Pop",21,1/19/2011,4:01,61,68,0,0,47,0,10,-4,D Minor,4,8/14/2023,3CKCZ9pfwAfoMZlMncA1Nc,XL Recordings/Columbia,7A,,https://i.scdn.co/image/ab67616d000048516d4056466fc11f6408be2566
3,Blinding Lights,The Weeknd,93,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",After Hours,3/20/2020,3:20,51,73,0,0,33,0,0,-6,C♯/D♭ Major,4,8/14/2023,0VjIjW4GlUZAMYd2vXMi3b,Republic Records,3B,,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36
4,Lost on You,LP,6,174,"la pop, women's music","Pop, Folk/Acoustic",Lost on You,12/9/2016,4:28,44,71,10,0,68,0,0,-6,F Minor,4,8/14/2023,3Mh4EaJcfM4v2hpY49rjg6,YENİ DÜNYA MÜZİK,4A,,https://i.scdn.co/image/ab67616d000048513b7f761a6d19ed94abe9b417
5,When We're High,LP,0,113,"la pop, women's music","Pop, Folk/Acoustic",Lost on You (Deluxe Edition),5/12/2017,3:57,75,74,2,0,57,0,10,-5,E Minor,4,8/14/2023,4wKeg6Xb6E5SC5edEqBawz,YENİ DÜNYA MÜZİK,9A,,https://i.scdn.co/image/ab67616d00004851f14f2cfc1b1c38d947a31791
6,Other People,LP,0,91,"la pop, women's music","Pop, Folk/Acoustic",Lost on You,12/9/2016,4:04,55,67,8,0,51,0,10,-5,B Major,4,8/14/2023,440hzEitMR0XzyemFndEiF,YENİ DÜNYA MÜZİK,1B,,https://i.scdn.co/image/ab67616d000048513b7f761a6d19ed94abe9b417
7,Ocean Drive,Duke Dumont,72,115,"edm, house, pop dance, progressive house, uk dance",Electronic,Ocean Drive,7/31/2015,3:26,69,72,1,0,56,0,10,-5,G#/A♭ Minor,4,8/14/2023,0b6wdul3A5sQNpIOv03OxP,EMI,1A,,https://i.scdn.co/image/ab67616d000048512500bcdc1790d13e7ac1a0c0
8,MIDDLE OF THE NIGHT,Elley Duhé,83,186,alt z,Pop,MIDDLE OF THE NIGHT,1/10/2020,3:04,41,61,2,0,9,0,10,-8,E Minor,3,8/14/2023,58HvfVOeJY7lUuCqF0m3ly,Not Fit For Society/RCA Records,9A,https://p.scdn.co/mp3-preview/e7c2441dcf8e321237c35085e4aa05bd0dcfa2c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485153a2e11c1bde700722fecd2e
9,MONTERO (Call Me By Your Name),Lil Nas X,80,179,lgbtq+ hip hop,Hip Hop,MONTERO,9/17/2021,2:17,59,50,29,0,71,20,40,-7,G#/A♭ Minor,4,8/14/2023,1SC5rEoYDGUK4NfG82494W,Columbia,1A,https://p.scdn.co/mp3-preview/6d0edb4a3a0061ad162b279081c3f573e9d0dd40?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be82673b5f79d9658ec0a9fd
10,I WANNA BE YOUR SLAVE,Måneskin,84,133,"indie rock italiano, italian pop","Rock, Pop",Teatro d'ira - Vol. I,3/19/2021,2:53,75,61,0,0,96,0,10,-4,C♯/D♭ Major,4,8/14/2023,4pt5fDVTg5GhEvEtlz9dKk,RCA Records Label,3B,https://p.scdn.co/mp3-preview/485950694eaee2c2887f897603a9bc4acc05c0bf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515aa05015cfa7bd2943c29b21
11,ET Industry,datChillboi,42,147,,,ET Industry,1/30/2022,4:20,53,56,2,2,55,10,60,-9,D Minor,4,8/14/2023,2o8BNi8I8gSLuDQWnhya8D,datChillboi,7A,https://p.scdn.co/mp3-preview/42b15ef5c89421e7aa9d4345e10e1c3e77fe0094?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108667757173993eccd69e9a0
12,The Real Slim Shady,Eminem,91,105,"detroit hip hop, hip hop, rap",Hip Hop,The Marshall Mathers LP,5/23/2000,4:44,95,66,3,0,76,0,0,-4,F Minor,4,8/14/2023,3yfqSUWxFvZELEM4PmlwIR,Interscope,4A,,https://i.scdn.co/image/ab67616d00004851dbb3dd82da45b7d7f31b1b42
13,Without Me,Eminem,92,112,"detroit hip hop, hip hop, rap",Hip Hop,The Eminem Show,5/26/2002,4:50,91,67,0,0,66,0,20,-3,G Major,4,8/14/2023,7lQ8MOhq6IN2w8EYcFNSUk,Aftermath,9B,,https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4
14,Not Afraid,Eminem,48,115,"detroit hip hop, hip hop, rap",Hip Hop,Curtain Call 2,8/5/2022,4:09,86,95,53,0,66,20,30,-1,C Minor,5,8/14/2023,6hcWB3v2cx7glirxlZI7a2,Aftermath,5A,,https://i.scdn.co/image/ab67616d00004851145454b151d01ca3305bbd60
15,Sing For The Moment,Eminem,45,164,"detroit hip hop, hip hop, rap",Hip Hop,The Eminem Show (Expanded Edition),5/26/2022,5:39,67,82,0,0,19,10,0,-4,F Minor,4,8/14/2023,2BeoIEbdG1kOWYKQhNl4dX,Aftermath,4A,,https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663
16,Lose Yourself,Eminem,85,171,"detroit hip hop, hip hop, rap",Hip Hop,Just Lose It,1/1/2004,5:22,69,74,1,0,6,20,30,-5,D Major,4,8/14/2023,1v7L65Lzy0j0vdpRjJewt1,Aftermath,10B,,https://i.scdn.co/image/ab67616d00004851b6ef2ebd34efb08cb76f6eec
17,Mockingbird,Eminem,91,84,"detroit hip hop, hip hop, rap",Hip Hop,Encore (Deluxe Version),11/12/2004,4:10,64,68,21,0,25,20,10,-4,C Major,4,8/14/2023,561jH07mF1jHuk7KlaeF0s,Aftermath,8B,,https://i.scdn.co/image/ab67616d00004851726d48d93d02e1271774f023
18,The Monster,"Eminem,Rihanna",63,110,"detroit hip hop, hip hop, rap, barbadian pop, pop, urban contemporary","Pop, Hip Hop",The Marshall Mathers LP2 (Deluxe),11/5/2013,4:10,78,85,5,0,62,0,10,-4,C♯/D♭ Minor,4,8/14/2023,4WgvTITBJbEfCJHguiE7QS,Aftermath,12A,,https://i.scdn.co/image/ab67616d00004851c6338d684995af10c2bf0533
19,Stan,"Eminem,Dido",86,80,"detroit hip hop, hip hop, rap, dance pop, europop, lilith, neo mellow, pop rock","Pop, Hip Hop, Folk/Acoustic, Rock",The Marshall Mathers LP,5/23/2000,6:44,78,77,4,0,51,20,50,-4,F#/G♭ Minor,4,8/14/2023,3UmaczJpikHgJFyBTAJVoz,Interscope,11A,,https://i.scdn.co/image/ab67616d00004851dbb3dd82da45b7d7f31b1b42
20,Love The Way You Lie,"Eminem,Rihanna",89,87,"detroit hip hop, hip hop, rap, barbadian pop, pop, urban contemporary","Pop, Hip Hop",Recovery,6/18/2010,4:23,75,93,24,0,64,20,50,-5,A#/B♭ Major,4,8/14/2023,15JINEqzVMv3SvJTAXAKED,Aftermath,6B,,https://i.scdn.co/image/ab67616d00004851c08d5fa5c0f1a834acef5100
21,Till I Collapse,"Eminem,Nate Dogg",46,171,"detroit hip hop, hip hop, rap, g funk, gangster rap, hardcore hip hop, west coast rap",Hip Hop,The Eminem Show (Expanded Edition),5/26/2022,4:57,55,85,6,0,10,10,0,-3,C♯/D♭ Major,4,8/14/2023,5kgYeVd1ya275wfmxvB0Su,Aftermath,3B,,https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663
22,Shake That,"Eminem,Nate Dogg",77,107,"detroit hip hop, hip hop, rap, g funk, gangster rap, hardcore hip hop, west coast rap",Hip Hop,Curtain Call: The Hits (Deluxe Edition),12/6/2005,4:34,96,64,5,0,53,10,10,-6,C♯/D♭ Minor,4,8/14/2023,0fGh0trRN1xz3s41r7V5ce,Aftermath,12A,,https://i.scdn.co/image/ab67616d00004851eab40fc794b88b9d1e012578
23,Remember The Name (feat. Eminem & 50 Cent),"Ed Sheeran,Eminem,50 Cent",69,91,"pop, singer-songwriter pop, uk pop, detroit hip hop, hip hop, rap, east coast hip hop, gangster rap, pop rap, queens hip hop","Hip Hop, Pop",No.6 Collaborations Project,7/12/2019,3:27,85,67,14,0,73,10,80,-7,B Minor,4,8/14/2023,0AtP8EkGPn6SwxKDaUuXec,Atlantic Records UK,10A,https://p.scdn.co/mp3-preview/9321b2bd53fdf40d83ab4b60444fffce0ec5a659?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485173304ce0653c7758dd94b259
24,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",86,122,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino, colombian pop, dance pop, latin pop, pop","Hip Hop, Pop, Latin","Shakira: Bzrp Music Sessions, Vol. 53",1/11/2023,3:34,78,63,27,0,50,0,0,-6,D Minor,4,8/14/2023,4nrPB8O7Y7wsOCJdgXkthe,DALE PLAY Records,7A,https://p.scdn.co/mp3-preview/64e90f49942deb7dd92610fb8ef64b30524e6009?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512b6d78c5a3f6247aa997b812
25,Can't Remember to Forget You (feat. Rihanna),"Shakira,Rihanna",71,138,"colombian pop, dance pop, latin pop, pop, barbadian pop, urban contemporary","Pop, Hip Hop",Shakira. (Expanded Edition),3/14/2014,3:26,69,81,12,0,82,0,10,-4,B Minor,4,8/14/2023,2Sh4sAOfnSHEVKFyysxzat,RCA/Sony Latin Iberia,10A,https://p.scdn.co/mp3-preview/0537ddabd29926b78d4773f32d31db65ee415020?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516acbe587dd91d142c5e364e1
26,Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie,Kodak Black",65,129,"melodic rap, rap, trap, florida drill, florida rap, miami hip hop, trap latino","Hip Hop, Latin",Drowning (feat. Kodak Black),3/10/2017,3:29,84,81,50,0,81,0,10,-5,F Minor,4,8/14/2023,3LnOF5n1GOs01siYZXzS3p,Highbridge The Label,4A,https://p.scdn.co/mp3-preview/f770a1a0b3dfb5bc652f89848e45ab9d09f7dc69?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851422289e2c09a3b210aa425b5
27,Summertime Sadness,Lana Del Rey,87,112,"art pop, pop",Pop,Born To Die - The Paradise Edition,1/1/2012,4:25,56,65,5,0,24,0,10,-7,C♯/D♭ Minor,4,8/14/2023,3BJe4B8zGnqEdQPMvfVjuS,Polydor Records,12A,,https://i.scdn.co/image/ab67616d00004851ebc8cfac8b586bc475b04918
28,High By The Beach,Lana Del Rey,0,132,"art pop, pop",Pop,Honeymoon,9/18/2015,4:17,52,49,27,0,10,0,10,-11,B Minor,4,8/14/2023,35WhawODuOs0kaHxwmPA9D,Universal Music Group,10A,,https://i.scdn.co/image/ab67616d00004851c8df94781bfb37742c00f4f1
29,Religion,Lana Del Rey,66,136,"art pop, pop",Pop,Honeymoon,9/18/2015,5:23,42,46,81,4,18,0,10,-10,A Minor,4,8/14/2023,1Yh4lOCbcskjSfYPDnn7EW,Polydor Records,8A,,https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a
30,Back To Black,Amy Winehouse,72,123,"british soul, neo soul",R&B,Back To Black,10/27/2006,4:00,49,73,12,0,34,0,10,-3,A#/B♭ Major,4,8/14/2023,30FURVTCpbKyykjSEQzGkH,Universal-Island Records Ltd.,6B,,https://i.scdn.co/image/ab67616d000048518f52f321140e4a76ea720c52
31,You Know I'm No Good,Amy Winehouse,75,103,"british soul, neo soul",R&B,Back To Black (Deluxe Edition),2006-00-00,4:17,69,50,1,0,80,0,0,-14,A Major,4,8/14/2023,0DMRKqrpd0QO4RWiEdMib0,Universal-Island Records Ltd.,11B,,https://i.scdn.co/image/ab67616d0000485176ffb5b5ab045d22c81235c1
32,House of Memories,Panic! At The Disco,83,110,"modern rock, pop","Rock, Pop",Death of a Bachelor,1/15/2016,3:28,51,82,0,0,51,0,0,-5,B Minor,4,8/14/2023,2DgdHcjWmO3qd50RzuBLgZ,Decaydance/Fueled By Ramen,10A,https://p.scdn.co/mp3-preview/5778331aff3415157ed51d5f95c0006fecdbaaaf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485123152d9337d6c57b116ed13a
33,Umbrella,"Rihanna,JAY-Z",86,174,"barbadian pop, pop, urban contemporary, east coast hip hop, gangster rap, hip hop, pop rap, rap","Pop, Hip Hop",Good Girl Gone Bad: Reloaded,6/2/2008,4:35,58,83,1,0,57,10,0,-5,C♯/D♭ Major,4,8/14/2023,49FYlytm3dAAraYgpoJZux,Def Jam Recordings,3B,,https://i.scdn.co/image/ab67616d00004851f9f27162ab1ed45b8d7a7e98
34,Stay With Me,1nonly,79,127,aesthetic rap,Hip Hop,Stay With Me,10/11/2020,2:21,68,84,30,0,34,30,30,-8,A Major,5,8/14/2023,2WYs5LxOZfEyURXu7V0O1a,1nonly,11B,https://p.scdn.co/mp3-preview/9376caedc60f6f2e36315602c9ba5d539b114a08?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851264a0478cccbc94ac61cb479
35,Hot N Cold,Katy Perry,79,132,pop,Pop,One Of The Boys,6/17/2008,3:40,71,84,0,0,86,0,0,-4,G Major,4,8/14/2023,0iGckQFyv6svOfAbAY9aWJ,Capitol Records,9B,,https://i.scdn.co/image/ab67616d000048513f97d4244eff5852477d9ee0
36,Last Friday Night (T.G.I.F.),Katy Perry,71,126,pop,Pop,Teenage Dream,8/24/2010,3:50,65,81,0,0,72,0,60,-4,D#/E♭ Minor,4,8/14/2023,3oHNJECGN3bBoGXejlw2b1,Capitol Records,2A,,https://i.scdn.co/image/ab67616d00004851f619042d5f6b2149a4f5e0ca
37,Dark Horse,"Katy Perry,Juicy J",84,132,"pop, crunk, memphis hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Pop",PRISM,1/1/2013,3:35,65,59,0,0,35,0,10,-6,F#/G♭ Major,4,8/21/2023,4jbmgIyjGoXjY01XxatOx6,Capitol Records (CAP),2B,,https://i.scdn.co/image/ab67616d000048511e9a057052d59004caf47e22
38,E.T.,Katy Perry,71,150,pop,Pop,Teenage Dream: The Complete Confection,3/12/2012,3:26,60,87,2,0,69,0,30,-5,F Minor,4,8/14/2023,4z8ssgZfs5TzKiO8HaGWXO,Capitol Records,4A,,https://i.scdn.co/image/ab67616d00004851937af329667311f4b2831616
39,Shake It Off,Taylor Swift,84,160,pop,Pop,1989 (Deluxe),1/1/2014,3:39,65,80,6,0,94,10,30,-5,G Major,4,8/14/2023,0cqRj7pUJDkTCEsJkx8snD,"Big Machine Records, LLC",9B,,https://i.scdn.co/image/ab67616d0000485152b2a3824413eefe9e33817a
40,Rude,MAGIC!,84,144,"pop, reggae fusion",Pop,Don't Kill the Magic,6/25/2014,3:44,77,76,4,0,93,0,30,-5,C♯/D♭ Major,4,8/14/2023,6RtPijgfPKROxEzTHNRiDp,Latium Records/RCA Records,3B,https://p.scdn.co/mp3-preview/7cdc54190cf06e5269d8406c5a7bba71a7e04cf1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851604f8ac39f15d287e251f193
41,Maps,Maroon 5,87,120,pop,Pop,V,9/2/2014,3:09,74,71,2,0,88,0,0,-6,C♯/D♭ Minor,4,8/14/2023,4gbVRS8gloEluzf0GzDOFc,Interscope Records*,12A,,https://i.scdn.co/image/ab67616d00004851442b53773d50e1b5369bb16c
42,Memories,Maroon 5,87,91,pop,Pop,JORDI (Deluxe),6/11/2021,3:09,78,33,84,0,60,0,0,-7,B Major,4,8/14/2023,4cktbXiXOapiLBMprHFErI,Interscope Records*,1B,,https://i.scdn.co/image/ab67616d0000485186a8ab515de4b7aef28cd631
43,Sugar,Maroon 5,83,120,pop,Pop,V,9/2/2014,3:55,75,79,6,0,88,0,0,-7,C♯/D♭ Major,4,8/14/2023,2iuZJX9X9P0GKaE93xcPjk,Interscope Records*,3B,,https://i.scdn.co/image/ab67616d00004851442b53773d50e1b5369bb16c
44,This Love,Maroon 5,65,95,pop,Pop,Songs About Jane,6/25/2002,3:26,71,86,5,0,81,0,0,-5,F Minor,4,8/14/2023,6YgV0EF8xJMZz0Zm6BTaT4,Interscope Records*,4A,,https://i.scdn.co/image/ab67616d0000485117b3850d758fff5a2301e537
45,Moves Like Jagger,"Maroon 5,Christina Aguilera",51,128,"pop, dance pop",Pop,Hands All Over (Revised International Deluxe),2010-00-00,3:21,72,76,1,0,63,0,30,-4,B Minor,4,8/14/2023,1YsMJDSKkkyHcEvs52GXAe,Interscope Records*,10A,,https://i.scdn.co/image/ab67616d00004851fa3a65f3cc278be4fb98e1b2
46,Animals,Maroon 5,83,190,pop,Pop,V,9/2/2014,3:51,28,74,0,0,33,0,50,-6,E Minor,4,8/14/2023,2bL2gyO6kBdLkNSkxXNh6x,Interscope Records*,9A,,https://i.scdn.co/image/ab67616d00004851442b53773d50e1b5369bb16c
47,One More Night,Maroon 5,82,93,pop,Pop,Overexposed Track By Track,1/1/2012,3:39,72,82,6,0,62,0,0,-3,F Minor,4,8/14/2023,6cpk00i5TxCqSeqNi2HuIe,Interscope Records*,4A,,https://i.scdn.co/image/ab67616d00004851fc8633e22a7dba6aab817bff
48,Ainsi bas la vida,Indila,71,128,french pop,Pop,Mini World (Deluxe),11/17/2014,3:34,78,64,5,0,44,10,10,-7,G#/A♭ Major,4,8/14/2023,4lsOsGMzO1yCjGVucoWOZ1,Universal Music Division Island Def Jam,4B,,https://i.scdn.co/image/ab67616d00004851eb5b8d192f9b4dfc67e4834d
49,Je veux,Zaz,72,155,"chanson, french jazz, nouvelle chanson francaise","Easy listening, Jazz, World/Traditional",Zaz,5/10/2010,3:35,53,81,25,0,74,0,0,-6,D Minor,4,8/14/2023,734dz1YaFITwawPpM25fSt,Parlophone (France),7A,https://p.scdn.co/mp3-preview/e85c65379feef07f5943541b92c6f412cbeae8be?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513b5969aba116e8248a3e6369
50,La vie en rose,Zaz,63,168,"chanson, french jazz, nouvelle chanson francaise","Easy listening, Jazz, World/Traditional",Recto verso (Edition Collector),5/13/2013,3:51,57,51,80,0,39,10,10,-6,G Major,4,8/14/2023,7cY3q6uDDuPfh36fqxPEPy,Warner (France),9B,https://p.scdn.co/mp3-preview/1a26f5a782e24d0986090fef234b2872940fcbca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e835830e6607f9e807c5ef43
51,Les passants,Zaz,60,154,"chanson, french jazz, nouvelle chanson francaise","Easy listening, Jazz, World/Traditional",Zaz,5/10/2010,3:33,74,66,36,0,61,10,0,-6,C Minor,4,8/17/2023,6x53YxdtkR2rGLptZCLgUx,Parlophone (France),5A,https://p.scdn.co/mp3-preview/6f6533c84fbf292243d1fcb5e49d047cb2df1a38?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513b5969aba116e8248a3e6369
52,Qué vendrá,Zaz,59,176,"chanson, french jazz, nouvelle chanson francaise","Easy listening, Jazz, World/Traditional",Effet miroir,11/16/2018,2:58,66,54,54,0,97,10,10,-7,B Minor,4,8/17/2023,1Om2ZfnIx2dueS6LcMzlyO,Play On,10A,https://p.scdn.co/mp3-preview/79d2fc0b56d165dbbb36f52cfa026e4b97b80a85?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f910d629ee07b177283158bf
53,On ira,Zaz,60,78,"chanson, french jazz, nouvelle chanson francaise","Easy listening, Jazz, World/Traditional",Recto verso (Deluxe),5/10/2013,2:58,59,89,35,0,58,20,10,-4,A#/B♭ Minor,4,8/14/2023,0O7j6n6xv3XtsqAqZw0nYM,Warner (France),3A,https://p.scdn.co/mp3-preview/99702522004a9421132fa978bcaed2c7c566f98e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a26dc692f35673eb199c446f
54,Dernière danse,Indila,81,115,french pop,Pop,Mini World,1/1/2014,3:33,67,45,18,0,33,0,0,-8,C Minor,4,8/14/2023,65uoaqX5qcjXZRheAj1qQT,Universal Music Division Island Def Jam,5A,,https://i.scdn.co/image/ab67616d000048514ae8ff731c49965bf2083405
55,L'italiano,Toto Cutugno,71,121,classic italian pop,Pop,L'Italiano,2/1/1983,3:56,62,52,29,0,69,0,40,-11,A#/B♭ Minor,4,8/14/2023,2S7RApTsKT0CtYojYq2cKz,Carosello Records,3A,https://p.scdn.co/mp3-preview/75200ca2b1076f59ce77703945567d2915ba2e45?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d919d138f6e83aba728bd697
56,Papaoutai,Stromae,76,116,"belgian pop, g-house","Pop, Electronic",racine carrée,1/1/2013,3:52,73,81,3,0,25,0,0,-7,A#/B♭ Minor,4,8/14/2023,34dx8DACTJsc3rsJdaEIQw,Universal Music Distributed Labels,3A,,https://i.scdn.co/image/ab67616d00004851ab580fab750cc9baf0d52b5c
57,Tous les mêmes,Stromae,74,110,"belgian pop, g-house","Pop, Electronic",racine carrée,1/1/2013,3:30,70,64,22,0,65,10,20,-9,F Minor,4,8/14/2023,6M4nkEPZMj58acftDRTuKL,Universal Music Distributed Labels,4A,,https://i.scdn.co/image/ab67616d00004851ab580fab750cc9baf0d52b5c
58,Alors on danse - Radio Edit,Stromae,81,120,"belgian pop, g-house","Pop, Electronic",Cheese,1/1/2010,3:26,79,59,10,0,71,0,0,-9,C♯/D♭ Minor,4,8/14/2023,2GYHyAoLWpkxLVa4oYTVko,Universal Music Distributed Labels,12A,,https://i.scdn.co/image/ab67616d00004851ae373174b14e3eac81554402
59,We Could Be The Same - Istanbul,maNga,56,133,turkish rock,Rock,We Could Be The Same,4/16/2010,3:03,66,89,4,0,75,0,0,-4,D Minor,4,8/14/2023,1JzWdmqLRpqu2x6mfmxKjU,Grgdn Müzik,7A,https://p.scdn.co/mp3-preview/2041c1f9b56e183180324a59e2465d9471453caf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aa72709ce92353f462a471a9
60,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta,AFROJACK,Bebe Rexha,Nicki Minaj",77,86,"big room, dance pop, edm, pop, pop dance, dutch house, electro house, hip pop, queens hip hop, rap","Electronic, Pop, Hip Hop",Listen,11/10/2014,3:12,60,73,24,0,53,10,30,-4,A Major,4,8/21/2023,285HeuLxsngjFn4GGegGNm,Parlophone (France),11B,https://p.scdn.co/mp3-preview/bfdf41e3d62f4be205ae8438a6bf6048909dae9a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513862d62a50dc6b928651bdeb
61,Kings & Queens,Ava Max,83,130,pop,Pop,Heaven & Hell,9/18/2020,2:42,64,69,1,0,46,0,10,-4,C♯/D♭ Minor,4,8/14/2023,7a53HqqArd4b9NF4XAmlbI,Atlantic Records,12A,https://p.scdn.co/mp3-preview/dc90347787fa47daa898d4ffbfff36074d184d64?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519a95e89d24214b94de36ccf7
62,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes,Adam Levine",83,90,"dance pop, pop rap, deep talent show","Pop, Country, Hip Hop",The Papercut Chronicles II,11/11/2011,3:30,65,80,3,0,80,10,20,-3,A Major,4,8/14/2023,0qOnSQQF0yzuPWsXrQ9paz,Decaydance/Fueled By Ramen,11B,https://p.scdn.co/mp3-preview/a62b535109dff39bdcc859c6fd2160e927d4b1c9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485118b8088fe0c3dbf78398b55a
63,On The Floor,"Jennifer Lopez,Pitbull",82,130,"dance pop, pop, urban contemporary, miami hip hop","Pop, Hip Hop",Love?,4/29/2011,4:44,73,78,11,0,57,0,0,-5,D#/E♭ Minor,4,8/14/2023,3C0nOe05EIt1390bVABLyN,Nuyorican Productions / IDJ,2A,,https://i.scdn.co/image/ab67616d00004851d7b2aa3834b82b1cbe899a48
64,No Lie,"Sean Paul,Dua Lipa",84,102,"dance pop, dancehall, pop, pop rap, uk pop","Pop, World/Traditional, Hip Hop",Mad Love The Prequel,6/29/2018,3:41,74,88,5,0,46,10,20,-3,G Major,4,8/14/2023,48QmG1dfvMuYLxMPt7KSRA,Universal-Island Records Ltd.,9B,,https://i.scdn.co/image/ab67616d000048512d564195ed3dd7b70d64862c
65,Jalebi Baby (Tesher x Jason Derulo),"Tesher,Jason Derulo",70,93,"desi pop, dance pop, pop",Pop,Jalebi Baby (Tesher x Jason Derulo),5/28/2021,2:49,69,83,3,0,87,0,20,-7,C Major,4,8/14/2023,6FvSS3Goz7OC8oCC2eWqe8,Capitol Records,8B,,https://i.scdn.co/image/ab67616d00004851a56f3d8136a0690b75b419d8
66,Radioactive,Imagine Dragons,48,136,"modern rock, pop, rock","Rock, Pop",Night Visions (Expanded Edition / Super Deluxe),9/9/2022,3:06,46,78,10,0,23,0,60,-4,A Major,4,8/14/2023,5Yj7eY0cs6wkGsn5mxy9j1,Kid Ina Korner / Interscope,11B,,https://i.scdn.co/image/ab67616d0000485181eeace38068e9444cb28a3e
67,Demons,Imagine Dragons,46,90,"modern rock, pop, rock","Rock, Pop",Night Visions (Expanded Edition / Super Deluxe),9/9/2022,2:57,49,71,20,0,37,0,30,-3,D#/E♭ Major,4,8/14/2023,5dutmcNWUzaMvPMxK6hqfz,Kid Ina Korner / Interscope,5B,,https://i.scdn.co/image/ab67616d0000485181eeace38068e9444cb28a3e
68,Natural,Imagine Dragons,84,100,"modern rock, pop, rock","Rock, Pop",Origins (Deluxe),11/9/2018,3:09,70,61,22,0,22,0,0,-6,D Major,4,8/14/2023,2FY7b99s15jUprqC0M5NCT,Kid Ina Korner / Interscope,10B,,https://i.scdn.co/image/ab67616d00004851da6f73a25f4c79d0e6b4a8bd
69,Whatever It Takes,Imagine Dragons,85,135,"modern rock, pop, rock","Rock, Pop",Evolve,6/23/2017,3:21,67,66,4,0,56,0,10,-5,A#/B♭ Minor,4,8/14/2023,6Qn5zhYkTa37e91HC1D7lb,Kid Ina Korner / Interscope,3A,,https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a
70,Believer,Imagine Dragons,90,125,"modern rock, pop, rock","Rock, Pop",Evolve,6/23/2017,3:24,78,78,6,0,67,10,0,-4,A#/B♭ Minor,4,8/14/2023,0pqnGHJpmpxLKifKRmU6WP,Kid Ina Korner / Interscope,3A,,https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a
